date,bank,no_fixed_term,1_month,3_months,6_months,9_months,12_months,18_months,24_months
2026-01-23,Kienlongbank,,3.5,3.5,5.3,4.9,5.5,5.25,5.25
2026-01-23,SeABank,,3.95,4.45,4.95,5.15,5.3,5.95,5.95
2026-01-21,NCB,,4.5,4.7,6.2,6.25,6.3,6.3,
2026-01-21,Vietinbank,0.1,2.1,2.4,2.4,3.5,5.2,5.2,5.3
2026-01-21,VPBank,,4.75,4.75,6.2,6.2,6.2,6.2,
2026-01-22,OCB,0.0,4.75,4.75,6.2,6.2,6.5,6.7,6.9
2026-01-20,Techcombank,,3.05,3.55,4.85,4.85,5.75,5.75,5.85
2026-01-23,Vietcombank,,0.1,,0.1,,,,4.7
2026-01-23,Bac A Bank,0.5,4.55,4.55,6.8,6.8,6.85,6.9,6.9
2026-01-20,Agribank,0.2,2.6,2.9,4.0,4.0,5.2,5.2,5.3
2026-01-23,PGBank,,4.75,4.75,7.1,7.1,7.2,6.8,6.8
2026-01-22,Vietcombank,,0.1,,0.1,,,,4.7
2026-01-22,MSB,,3.35,3.35,3.65,3.65,4.2,4.2,4.2
2026-01-22,Nam A Bank,0.5,3.9,4.0,5.0,5.2,5.5,5.7,
2026-01-23,Saigonbank,,4.4,4.6,5.5,5.6,6.0,6.2,6.2
2026-01-21,BIDV,,3.0,3.4,4.5,4.5,5.2,5.3,5.3
2026-01-21,Kienlongbank,,3.5,3.5,5.3,4.9,5.5,5.25,5.25
2026-01-22,Vietinbank,0.1,2.1,2.4,2.4,3.5,5.2,5.2,5.3
2026-01-23,ACB,,4.3,4.65,5.2,5.3,5.7,,
2026-01-20,Sacombank,,4.75,4.75,5.3,5.5,5.8,6.0,
2026-01-22,MB,0.05,3.5,3.9,4.5,4.5,5.4,5.4,6.2
2026-01-21,OCB,0.0,4.75,4.75,6.2,6.2,6.5,6.7,6.9
2026-01-22,ABBANK,0.1,,4.0,6.3,6.3,6.3,6.3,6.3
2026-01-22,Agribank,0.2,2.6,2.9,4.0,4.0,5.2,5.2,5.3
2026-01-20,VietABank,,4.3,4.5,5.4,5.4,5.7,5.8,
2026-01-23,VIB,0.25,,4.75,,5.6,6.5,5.7,5.8
2026-01-20,ABBANK,0.1,,4.0,6.3,6.3,6.3,6.3,6.3
2026-01-20,Eximbank,,4.3,4.5,4.9,4.9,5.2,5.7,
2026-01-22,TPBank,,4.75,4.75,4.9,,,5.2,
2026-01-20,TPBank,,4.75,4.75,4.9,,,5.2,
2026-01-23,Agribank,0.2,2.6,2.9,4.0,4.0,5.2,5.2,5.3
2026-01-21,LPBank,,4.2,4.4,5.7,5.7,5.8,5.8,5.8
2026-01-20,OCB,0.0,4.75,4.75,6.2,6.2,6.5,6.7,6.9
